trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-232.91727548922916,"{0: 11, 1: 6, 2: 2, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-248.7427527869844,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.5402864365235,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-99.58764768528562,"{0: 19, 1: 7, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.11085778242838,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-13.392421262820895,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.42661545873221,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.68131025613906,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.09112008837582,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.22496208167537,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.0712035358014,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.51514218920946,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.55136364879115,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.47125168510126,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.90968099235036,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,6,-89.59354750257451,"{0: 6, 1: 2, 2: 5, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.91902367268399,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.3725831661215,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-213.35270932802717,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.26828335540512,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-159.59989752270778,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-247.8987616514823,"{0: 14, 1: 4, 2: 6, 3: 3, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-79.59828800856387,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.54010612765296,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.03894919525568,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-112.47007717705004,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,1,-200.48040002951097,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 4}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,14,-5.412998128142708,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,9,-59.5523085844502,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-138.33706940981048,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
